|player_id|player_name|player_preferred_position|player_preferred_number|player_minutes|wavg_player_rating|offsides|shots_total|shots_on_goal|goals_total|goals_conceded|goals_assists|goals_saves|passes_total|passes_key|passes_completed|tackles_total|tackles_blocks|tackles_interceptions|tackles_total_padj|tackles_blocks_padj|tackles_interceptions_padj|duels_total|duels_won|dribbles_attemps|dribbles_success|dribbles_past|dribbles_past_padj|fouls_drawn|fouls_committed|fouls_committed_padj|cards_yellow|cards_red|penalty_won|penalty_committed|penalty_scored|penalty_missed|penalty_saved
2621|12083|Patricio Jerez Aguayo|D|26|861|6.936933797909408|0|4|1|0|0|0|0|265|3|193.59999999999997|12|2|22|11.158397814031204|1.9063180827886708|23.43164400837623|125|70|10|4|11|11.278233759733684|14|22|22.57629227608544|1|0|0|0|0|0|0
2622|12088|Pedro Morales|M|11|412|6.477184466019417|0|16|7|0|0|0|0|240|5|192.99000000000004|0|0|7|0.0|0.0|7.670595533498759|63|23|9|2|10|10.367321484774761|11|7|7.619426224077387|1|0|0|0|0|0|0
2623|12089|Jonathan Requena|M|10|451|6.713968957871397|0|6|4|0|0|1|0|186|15|140.87|3|0|5|3.612903225806452|0.0|4.763486513486513|80|33|15|9|5|6.356422255039766|17|11|13.611770655549456|0|0|1|0|0|0|0
2624|12090|Fernando Saavedra|M|23|3368|6.963652587745391|0|43|16|3|0|6|0|1154|68|558.49|28|2|31|30.55816476105231|2.532051282051282|35.25741764872843|323|170|37|24|22|25.96279332874874|87|70|80.97429470803976|8|2|0|0|0|0|0
2625|12092|Claudio Zamorano|M|30|560|6.889464285714285|0|2|1|0|0|0|0|176|7|145.07|13|3|11|11.694322062985655|3.0023547880690735|10.119880375640744|71|36|2|1|6|5.480769016190402|13|11|10.349042021560182|1|1|0|0|0|0|0
2626|12093|Alfredo Abalos|M|27|2210|6.936606334841629|0|54|18|5|0|4|0|419|40|303.9200000000001|16|2|9|16.25301111179003|2.249747219413549|10.59260317906825|371|185|104|53|27|31.050674158792734|102|22|23.570080125067065|4|0|1|0|0|0|0
2627|12094|Diego Arias|F|34|371|6.595148247978437|0|5|0|0|0|0|0|36|6|21.16|5|0|2|5.150867109071443|0.0|2.1167557932263814|69|26|9|1|2|2.1167557932263814|4|10|9.32184430636443|0|0|0|0|0|0|0
2628|12096|Diego Cayupil|D|4|580|6.625172413793103|0|0|0|0|0|1|0|109|2|72.92|4|0|10|4.601932811780948|0.0|10.535667369743562|42|23|0|0|5|5.156183026064847|2|6|6.732093819273375|2|0|0|0|0|0|0
2629|12097|Sebastian Dominguez|M|2|282|6.824113475177305|0|0|0|0|0|0|0|60|1|41.78|3|1|11|3.1063046479521397|1.2195121951219512|12.925039627754767|21|14|0|0|1|1.2195121951219512|4|3|3.6585365853658534|2|0|0|0|0|0|0
2630|12098|Sebastian Pinto|F|9|229||0|5|2|0|9|1|0|0|0|0.0|3|0|0|3.813813813813814|0.0|0.0|0|0|0|0|0|0.0|1|1|0.8064516129032259|0|0|0|0|0|0|0
2631|12106|Gino Alucema|M|6|567|6.662081128747795|0|3|2|0|0|0|0|183|1|135.38|5|2|10|6.035155587227256|1.9641495041952708|9.969798771590487|80|46|3|2|7|7.66557404095398|11|10|10.720734975263554|2|0|0|0|0|0|0
2632|12109|Fernando Cornejo|D|4|50|7.1|0|1|0|0|0|0|0|15|0|11.700000000000001|2|0|0|2.272727272727273|0.0|0.0|8|5|0|0|0|0.0|2|1|1.1363636363636365|0|0|0|0|0|0|0
